Name,Description,Platform,AudienceSize
iPad,"iPads (all)",iOS,124000000
iPhone,"iPhones (all)",iOS,444000000
iPod,"iPods (all)",iOS,9400000
ipad,"Apple iPad",iOS,28000000
"ipad 2","Apple iPad 2",iOS,18000000
"ipad 3rd gen","Apple iPad 3rd gen",iOS,10000000
"ipad 4th gen","Apple iPad 4th gen",iOS,13000000
"ipad air","Apple iPad Air",iOS,18000000
"ipad air 2","Apple iPad Air 2",iOS,15000000
"ipad mini","Apple iPad mini",iOS,19000000
"ipad mini 2","Apple iPad mini 2",iOS,20
"ipad mini 3","Apple iPad mini 3",iOS,2500000
"ipad mini 4","Apple iPad mini 4",iOS,3000000
"ipad pro","Apple iPad Pro",iOS,3800000
iphone,"Apple iPhone",iOS,99000000
"iphone 3gs","Apple iPhone 3GS",iOS,560000
"iphone 4","Apple iPhone 4",iOS,20000000
"iphone 4s","Apple iPhone 4s",iOS,31000000
"iphone 5","Apple iPhone 5",iOS,42000000
"iphone 5c","Apple iPhone 5c",iOS,20000000
"iphone 5s","Apple iPhone 5s",iOS,84000000
"iphone 6","Apple iPhone 6",iOS,108000000
"iphone 6 plus","Apple iPhone 6 Plus",iOS,31000000
"iphone 6s","Apple iPhone 6s",iOS,75000000
"iphone 6s plus","Apple iPhone 6s Plus",iOS,29000000
"iphone 7","Apple iPhone 7",iOS,27000000
"iphone 7 plus","Apple iPhone 7 Plus",iOS,14000000
"iphone se","Apple iPhone SE",iOS,14000000
"ipod touch 1st generation","Apple iPod Touch 1st Generation",iOS,20
"ipod touch 2nd generation","Apple iPod Touch 2nd Generation",iOS,8900
"ipod touch 3rd generation","Apple iPod Touch 3rd Generation",iOS,37000
"ipod touch 4th generation","Apple iPod Touch 4th Generation",iOS,930000
"ipod touch 5th generation","Apple iPod Touch 5th Generation",iOS,5100000
530,"Philips 530",Windows,15000
"lumia 520","Nokia Lumia 520",Windows,250000
"lumia 535","Microsoft Lumia 535",Windows,280000
"lumia 630","Nokia Lumia 630",Windows,26000
"lumia 635","Nokia Lumia 635",Windows,30000
"lumia 640 lte","Nokia Lumia 640 LTE",Windows,24000
microsoft,"Microsoft Devices",Windows,570000
nokia,"Nokia Devices",Windows,54000000
philips,"Philips Devices",Windows,1300000
Android_Smartphone,"Android Smartphones (all)",Android,1603000000
Android_Tablet,"Android Tablets (all)",Android,173000000
a1000,"Lenovo A1000",Android,4400000
a2010,"Lenovo A2010",Android,4300000
a369i,"Lenovo A369i",Android,2100000
a37,"Oppo A37",Android,5200000
a536,"Lenovo A536",Android,2400000
a6000,"Lenovo A6000",Android,6200000
a7000,"Lenovo A7000",Android,3000000
alcatel,"Alcatel Devices",Android,51000000
amazon,"Amazon Devices",Android,6000000
"aquos crystal","Sharp Aquos Crystal",Android,380000
"aquos crystal x","Sharp Aquos Crystal X",Android,70000
"aquos ever","Sharp Aquos Ever",Android,270000
