account_name,account_id,spend
SuperPoker-SuperAnt-BF-20180124-01,act_968239276691231,33.7
OperaMini-360-BF-20180111-01,act_958136881034804,20006.99
Kwai-OneSmile-BF-20180109-01,act_956454514536374,158.55
Kwai-OneSmile-BF-20180109-02,act_956454517869707,60.64
OperaMini-360-BF-20171214-01,act_940674489447710,14244.38
OperaBrowser-360-BF-20171214-02,act_941081606073665,3796.16
OperaBrowser-360-BF-20171214-01,act_941081609406998,2933.12
Jollychic-BF-20171024-02,act_907609212754238,475.78
OperaMini-360-BF-20180129-01,act_881549872026839,1132.64
OperaMini-360-BF-20170816-02,act_870823563099470,160.52
OperaMini-360-BF-20170816-01,act_870823559766137,13289.18
Kwai-OneSmile-MH-20170719-01,act_1402266089871462,474.19
StarMaker-Mobi-MH-20170713-02,act_853914018123758,421.08
FlashLight-Sungy-BF-20170505-02,act_793769357471558,13058.11
Kwai-OneSmile-BF-20170331-03,act_783764878472006,2705.32
Kwai-OneSmile-BF-20170331-02,act_783764881805339,6248.26
Kwai-OneSmile-BF-20170331-01,act_783764875138673,4909.91
360移动安全有限公司-亿栗1.14(3),act_1227059294037094,5181.97
