Name,Platform,AudienceSize,Description,AudienceSize_RU_All,BidSuggest_RU_All,BidMin_RU_All,BidMax_RU_All,DailyReachMin_RU_All,DailyReachMax_RU_All
iPad,iOS,120000000,"iPads (all)",1500000,1.96,1.92,2.01,,
iPhone,iOS,550000000,"iPhones (all)",11000000,5.31,5.24,5.66,,
iPod,iOS,6500000,"iPods (all)",25000,5.46,5.46,5.46,,
ipad,iOS,1000,"Apple iPad",1500000,1.96,1.92,2.01,,
"ipad 1",iOS,250000,"Apple iPad 1",1200,1.77,1.34,2.41,,
"ipad 2",iOS,11000000,"Apple iPad 2",140000,2.52,2.21,3.04,,
"ipad 3rd gen",iOS,7100000,"Apple iPad 3rd gen",150000,2.74,2.3,3.42,,
"ipad 4th gen",iOS,11000000,"Apple iPad 4th gen",250000,2.8,2.45,3.35,,
"ipad 5th gen",iOS,11000000,"Apple iPad 5th Gen",81000,3.56,3.1,4.2,,
"ipad air",iOS,16000000,"Apple iPad Air",240000,2.58,2.16,3.2,,
"ipad air 2",iOS,18000000,"Apple iPad Air 2",130000,3.23,2.6,4.26,,
"ipad mini",iOS,13000000,"Apple iPad mini",210000,2,1.75,2.44,,
"ipad mini 2",iOS,13000000,"Apple iPad mini 2",160000,2.35,2.06,2.77,,
"ipad mini 3",iOS,2100000,"Apple iPad mini 3",35000,3.02,2.61,3.67,,
"ipad mini 4",iOS,5300000,"Apple iPad mini 4",50000,2.59,2,3.5,,
"ipad pro",iOS,6300000,"Apple iPad Pro",52000,2.4,2.02,2.96,,
"ipad pro 2nd gen",iOS,3900000,"Apple iPad Pro 2nd Gen",38000,3.83,3.08,4.97,,
iphone,iOS,31000000,"Apple iPhone",11000000,5.31,5.24,5.66,,
"iphone 3gs",iOS,84000,"Apple iPhone 3GS",1500,1.67,1.56,1.9,,
"iphone 4",iOS,5900000,"Apple iPhone 4",130000,1.83,1.79,1.98,,
"iphone 4s",iOS,13000000,"Apple iPhone 4s",500000,2.47,2.47,2.47,,
"iphone 5",iOS,27000000,"Apple iPhone 5",800000,3.05,2.8,3.51,,
"iphone 5c",iOS,11000000,"Apple iPhone 5c",150000,2.09,2.09,2.17,,
"iphone 5s",iOS,66000000,"Apple iPhone 5s",3000000,3.64,3.64,3.64,,
"iphone 6",iOS,110000000,"Apple iPhone 6",2500000,3.05,2.83,3.35,,
"iphone 6 plus",iOS,28000000,"Apple iPhone 6 Plus",350000,3.61,3.45,4.19,,
"iphone 6s",iOS,88000000,"Apple iPhone 6s",1600000,4.93,4.46,5.48,,
"iphone 6s plus",iOS,30000000,"Apple iPhone 6s Plus",200000,2.7,2.23,3.43,,
"iphone 7",iOS,93000000,"Apple iPhone 7",1800000,3.61,3.32,4.01,,
"iphone 7 plus",iOS,56000000,"Apple iPhone 7 Plus",740000,4.52,4.27,4.98,,
"iphone 8",iOS,30000000,"Apple iPhone 8",390000,4.47,3.83,5.55,,
"iphone 8 plus",iOS,28000000,"Apple iPhone 8 Plus",350000,3.67,3.59,3.9,,
"iphone se",iOS,34000000,"Apple iPhone SE",1200000,3.2,3.13,3.35,,
"iphone x",iOS,32000000,"Apple iPhone X",470000,3.51,3.2,4,,
"ipod touch 1st generation",iOS,1000,"Apple iPod Touch 1st Generation",1000,0,0,0,,
"ipod touch 2nd generation",iOS,1000,"Apple iPod Touch 2nd Generation",1000,0,0,0,,
"ipod touch 3rd generation",iOS,10000,"Apple iPod Touch 3rd Generation",1000,0,0,0,,
"ipod touch 4th generation",iOS,240000,"Apple iPod Touch 4th Generation",1600,1.7,1.7,1.7,,
"ipod touch 5th generation",iOS,2300000,"Apple iPod Touch 5th Generation",17000,2.45,2.45,2.45,,
"ipod touch 6th generation",iOS,3600000,"Apple iPod Touch 6th Generation",6300,3.48,3.2,3.98,,
530,Windows,1000,"Philips 530",1000,0,0,0,,
"lumia 520",Windows,31000,"Nokia Lumia 520",1000,0,0,0,,
"lumia 535",Windows,32000,"Microsoft Lumia 535",1000,0,0,0,,
"lumia 630",Windows,15000,"Nokia Lumia 630",1000,0,0,0,,
"lumia 635",Windows,6900,"Nokia Lumia 635",1000,0,0,0,,
"lumia 640 lte",Windows,2700,"Nokia Lumia 640 LTE",1000,0,0,0,,
"lumia 920",Windows,1500,"Nokia Lumia 920",1000,0,0,0,,
microsoft,Windows,100000,"Microsoft Devices",1000,0,0,0,,
nokia,Windows,15000000,"Nokia Devices",280000,1.92,1.92,1.92,,
philips,Windows,1200000,"Philips Devices",150000,4.15,4.12,4.32,,
Android_Smartphone,Android,2100000000,"Android Smartphones (all)",19000000,2.27,2.27,2.27,,
Android_Tablet,Android,160000000,"Android Tablets (all)",2500000,3.24,3.24,3.24,,
10,Android,920000,"Htc 10",9300,3.19,2.87,3.72,,
1201,Android,4800,"Oppo 1201",1000,0,0,0,,
1603,Android,13000,"Vivo 1603",1000,0,0,0,,
2,Android,2500000,"Nokia 2",22000,2.88,2.88,3,,
3,Android,6100000,"Nokia 3",89000,4.65,4.65,4.65,,
5,Android,3600000,"Nokia 5",110000,3.06,2.67,3.71,,
5060,Android,1400000,"Advan 5060",1000,0,0,0,,
5t,Android,1300000,"Oneplus 5T",15000,3.31,2.83,4.21,,
6,Android,2100000,"Nokia 6",54000,2.93,2.69,3.32,,
a1000,Android,5100000,"Lenovo A1000",81000,1.93,1.93,1.93,,
a2010,Android,3600000,"Lenovo A2010",130000,2.45,2.45,2.45,,
a369i,Android,1100000,"Lenovo A369i",7500,2.86,2.86,2.86,,
a37,Android,40000000,"Oppo A37",2500,2.51,1.88,3.44,,
a39,Android,2300000,"Oppo A39",1000,1.9,1.46,2.52,,
a5000,Android,1100000,"Lenovo A5000",62000,4.74,4.74,4.74,,
a536,Android,1700000,"Lenovo A536",140000,2.92,2.92,2.92,,
a57,Android,8300000,"Oppo A57",1000,2.24,1.77,2.86,,
a6000,Android,4400000,"Lenovo A6000",13000,3.75,3.75,3.75,,
